Model_Name,Avg_Response_Length,Response_Count,Total_Adversarial_Count,Avg_Adversarial_Count
Anika,44.67225325884544,537,592.0,0.2942271880819367
Derek,27.71071071071071,999,674.0,0.12612612612612611
Emma,36.69179229480737,597,655.0,0.24958123953098826
Enrique,47.90537634408602,465,540.0,0.2172043010752688
George,47.84823848238482,369,421.0,0.2791327913279133
Maria,40.1234096692112,786,869.0,0.2875318066157761
Peter,49.15419501133787,441,470.0,0.23129251700680273
Philip,63.42857142857143,609,745.0,0.29720853858784896
Sarah,53.11856823266219,447,509.0,0.24161073825503357
Talia,35.45014245014245,702,750.0,0.17236467236467237
